TITLE: Bill of Materials
DATE: 07/15/2021
DESIGN: maxm86161_adptr_evkit_b
VARIANT:maxm86161_adptr_evkit_b

NOTE: DNI--> DO NOT INSTALL(PACKOUT) ; DNP--> DO NOT PROCURE

ITEM,REF_DES,DNI/DNP,QTY,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,"1V8, GND",-,2,5011,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; BLACK; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
2,ACCINTN,-,1,5013,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; ORANGE; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
3,J2,-,1,FH39-25S-0.3SHW,HIROSE ELECTRIC CO LTD,FH39-25S-0.3SHW,EVKIT PART - CONNECTOR; FEMALE; SMT; 0.3MM PITCH 1.1MM HEIGHT TOP AND BOTTOM CONTACT BACK-FLIP ACTUATOR FLEXIBLE PRINTED CIRCUIT CONNECTORS; RIGHT ANGLE; 25PINS; , 
4,J3,-,1,PBC12SAAN,SULLINS ELECTRONICS CORP.,PBC12SAAN,CONNECTOR; MALE; THROUGH HOLE; BREAKAWAY; STRAIGHT; 12PINS; -65 DEGC TO +125 DEGC, 
5,J4,-,1,PBC16SAAN,SULLINS ELECTRONICS CORP.,PBC16SAAN,CONNECTOR; MALE; THROUGH HOLE; BREAKAWAY; STRAIGHT; 16PINS; -65 DEGC TO +125 DEGC, 
6,MFIO,-,1,5127,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; BLUE; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
7,OPTINT,-,1,5126,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; GREEN; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
8,"R1, R2",-,2,HVC2512K1002FT,OHMCRAFT,10K,RES; SMT (2512); 10K; 1%; +/-100PPM/DEGC; 2W, 
9,RSTN,-,1,5014,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; YELLOW; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
10,SCL,-,1,5128,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; GREY; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
11,SDA,-,1,5125,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; BROWN; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
12,VLED,-,1,5012,KEYSTONE,N/A,TEST POINT; PIN DIA=0.125IN; TOTAL LENGTH=0.445IN; BOARD HOLE=0.063IN; WHITE; PHOSPHOR BRONZE WIRE SILVER PLATE FINISH; , 
13,PCB,-,1,MAXM86161ADPTR,MAXIM,PCB,PCB:MAXM86161ADPTR,-
14,J1,DNP,0,5016162575,MOLEX,5016162575,CONNECTOR; FEMALE; SMT; EASY-ON TYPE FPC CONNECTOR; RIGHT ANGLE; 25PINS ;, 
TOTAL,,,15
